House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
26,Peacock Avenue,Clive,Harris,49,None,Single,Male,Secretary/administrator,None,None
26,Peacock Avenue,Shaun,Rogers,24,None,Single,Male,Chief Strategy Officer,None,Catholic
27,Peacock Avenue,Arthur,Reynolds,56,Head,Divorced,Male,"Geneticist, molecular",None,None
27,Peacock Avenue,Ellie,Day-Reynolds,15,Daughter,NA,Female,Student,None,NA
28,Peacock Avenue,Jade,Pearce,34,Head,Married,Female,"Psychologist, occupational",None,None
28,Peacock Avenue,Timothy,Pearce,32,Husband,Married,Male,"Engineer, mining",None,None
28,Peacock Avenue,Aimee,Cox,42,Visitor,Single,Female,Animator,None,Catholic
29,Peacock Avenue,Rosemary,Oliver,41,Head,Single,Female,"Lecturer, further education",None,Female
29,Peacock Avenue,Oliver,Oliver,13,Son,NA,Male,Student,None,NA
30,Peacock Avenue,Sally,Brown,40,Head,Single,Female,Medical technical officer,None,None
31,Peacock Avenue,Valerie,Kirby,48,Head,Divorced,Female,"Production assistant, television",None,Christian
31,Peacock Avenue,Mary,Kirby,18,Daughter,Single,Female,Student,None,Christian
31,Peacock Avenue,Abigail,Kirby,17,Daughter,NA,Female,Student,None,NA
31,Peacock Avenue,Molly,Kirby,14,Daughter,NA,Female,Student,None,NA
32,Peacock Avenue,Eileen,McCarthy,50,Head,Divorced,Female,"Producer, radio",Deaf,Christian
32,Peacock Avenue,Lucy,McCarthy,12,Daughter,NA,Female,Student,None,NA
33,Peacock Avenue,Sharon,Matthews,46,Head,Married,Female,Exercise physiologist,None,None
33,Peacock Avenue,Benjamin,Matthews,50,Husband,Married,Male,Print production planner,None,None
33,Peacock Avenue,Bethan,Matthews,16,Daughter,NA,Female,Student,None,NA
33,Peacock Avenue,Nicola,Matthews,14,Daughter,NA,Female,Student,None,NA
33,Peacock Avenue,Paula,Carter-Matthews,14,Daughter,NA,Female,Student,None,NA
33,Peacock Avenue,Anthony,Carter-Matthews,10,Adopted Son,NA,Male,Student,None,NA
34,Peacock Avenue,Marion,Patterson,40,Head,Single,Female,Bonds trader,None,None
35,Peacock Avenue,William,Rogers,21,Head,Single,Male,University Student,None,None
35,Peacock Avenue,Allan,Perry,20,None,Single,Male,University Student,None,None
36,Peacock Avenue,Edward,Lowe,47,Head,Single,Male,Clinical molecular geneticist,None,None
36,Peacock Avenue,Neil,Lowe,6,Son,NA,Male,Student,None,NA
36,Peacock Avenue,Marc,Lowe,0,Son,NA,Male,Child,None,NA
36,Peacock Avenue,Helen,Turner,42,Lodger,Single,Female,"Engineer, materials",None,Christian
36,Peacock Avenue,Amy,Barnes,55,Lodger,Divorced,Female,"Radiographer, diagnostic",None,Catholic
37,Peacock Avenue,Lynn,Kelly,43,Head,Married,Female,IT consultant,None,None
37,Peacock Avenue,Jack,Robinson,48,Husband,Married,Male,Museum/gallery conservator,None,None
37,Peacock Avenue,Douglas,Kelly,11,Son,NA,Male,Student,None,NA
38,Peacock Avenue,Joan,Harding,67,Head,Widowed,Female,"Engineer, drilling",None,Methodist
38,Peacock Avenue,Louise,Bailey,2,Granddaughter,NA,Female,Child,None,NA
39,Peacock Avenue,Jeffrey,Walters,27,Head,Married,Male,Writer,None,None
39,Peacock Avenue,Angela,Walters,28,Wife,Married,Female,Early years teacher,None,None
40,Peacock Avenue,Anne,Davies,53,Head,Married,Female,"Engineer, civil (consulting)",None,Methodist
40,Peacock Avenue,Nigel,Davies,55,Husband,Married,Male,"Nurse, mental health",None,Methodist
41,Peacock Avenue,Stacey,Ferguson,53,Head,Divorced,Female,Unemployed,None,Christian
41,Peacock Avenue,Bethan,Ferguson,19,Daughter,Single,Female,University Student,None,Christian
41,Peacock Avenue,Adrian,Ferguson,17,Son,NA,Male,Student,None,NA
41,Peacock Avenue,Carly,Ferguson,13,Daughter,NA,Female,Student,Unknown Infection,NA
41,Peacock Avenue,Stewart,Ferguson,9,Son,NA,Male,Student,None,NA
42,Peacock Avenue,Allan,Mason,67,Head,Widowed,Male,Agricultural engineer,None,None
43,Peacock Avenue,Dorothy,Roberts,37,Head,Single,Female,Unemployed,None,Catholic
43,Peacock Avenue,Joseph,Roberts,8,Son,NA,Male,Student,None,NA
44,Peacock Avenue,Paige,Richardson,70,Head,Widowed,Female,Unemployed,None,Christian
44,Peacock Avenue,Christian,Richardson,46,Son,Single,Male,Financial risk analyst,None,Christian
44,Peacock Avenue,Teresa,Richardson,42,Daughter,Single,Female,"Producer, television/film/video",None,None
44,Peacock Avenue,Linda,Richardson,39,Daughter,Widowed,Female,Dentist,None,None
44,Peacock Avenue,Philip,Richardson,35,Son,Single,Male,Health visitor,None,Christian
45,Peacock Avenue,Teresa,May,59,Head,Married,Female,"Surveyor, minerals",None,Catholic
45,Peacock Avenue,Steven,May-Owen,56,Husband,Married,Male,English as a second language teacher,None,Catholic
45,Peacock Avenue,Paul,May-Owen,42,Son,Single,Male,Sports development officer,None,Catholic
45,Peacock Avenue,Reece,May-Owen,38,Son,Single,Male,"Radiographer, diagnostic",None,None
46,Peacock Avenue,Lauren,Kelly,34,Head,Single,Female,Furniture conservator/restorer,None,None
46,Peacock Avenue,Alan,Kelly,7,Son,NA,Male,Student,None,NA
46,Peacock Avenue,Daniel,Kelly,2,Son,NA,Male,Child,None,NA
46,Peacock Avenue,Gavin,Turner,21,Cousin,Single,Male,University Student,None,Christian
46,Peacock Avenue,Lauren,Begum,38,Lodger,Widowed,Female,Paediatric nurse,None,None
47,Peacock Avenue,Dominic,Jenkins,65,Head,Widowed,Male,Ecologist,None,Methodist
47,Peacock Avenue,Gordon,Jenkins,14,Grandson,NA,Male,Student,None,NA
48,Peacock Avenue,Stanley,Stone,40,Head,Single,Male,Chartered certified accountant,None,Catholic
49,Peacock Avenue,Jane,White,50,Head,Single,Female,Environmental manager,None,None
49,Peacock Avenue,Lucy,May,31,None,Single,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
50,Peacock Avenue,Leonard,Howard,55,Head,Divorced,Male,Corporate treasurer,None,Catholic
50,Peacock Avenue,Harry,Howard,12,Grandson,NA,Male,Student,None,NA
51,Peacock Avenue,Judith,Arnold,76,Head,Married,Female,"Retired Horticulturist, commercial",None,Christian
51,Peacock Avenue,Christian,Arnold,78,Husband,Married,Male,Unemployed,None,None
51,Peacock Avenue,Alice,Arnold,28,Granddaughter,Divorced,Female,Commercial art gallery manager,None,None
51,Peacock Avenue,Andrea,Robinson,25,Adopted Granddaughter,Single,Female,Occupational psychologist,None,Christian
51,Peacock Avenue,Naomi,Simpson,22,Granddaughter,Single,Female,University Student,None,None
52,Peacock Avenue,Sara,Pearson,57,Head,Single,Female,Health visitor,None,Christian
52,Peacock Avenue,Hilary,Lewis,45,None,Single,Female,Wellsite geologist,None,None
52,Peacock Avenue,Grace,Parsons,53,None,Single,Female,Architectural technologist,None,Christian
53,Peacock Avenue,Lynda,Todd,36,Head,Single,Female,Hospital pharmacist,None,Christian
53,Peacock Avenue,Glen,Butler,35,Partner,Single,Male,"Engineer, maintenance (IT)",None,Christian
53,Peacock Avenue,Melanie,Todd,16,Daughter,NA,Female,Student,None,NA
53,Peacock Avenue,Joan,Todd,14,Daughter,NA,Female,Student,None,NA
1,Merlin Locks,Alison,Patterson,66,Head,Married,Female,Unemployed,None,None
1,Merlin Locks,John,Patterson,69,Husband,Married,Male,Retired English as a second language teacher,None,None
1,Merlin Locks,Antony,Patterson,31,Son,Single,Male,Unemployed,None,None
1,Merlin Locks,Rosie,Patterson,29,Daughter,Divorced,Female,International aid/development worker,None,None
1,Merlin Locks,Keith,Patterson,10,Son,NA,Male,Student,None,NA
2,Merlin Locks,Jasmine,Holmes,25,Head,Married,Female,Training and development officer,None,None
2,Merlin Locks,Allan,Holmes,28,Husband,Married,Male,Unemployed,None,None
2,Merlin Locks,Kathryn,Holmes,6,Daughter,NA,Female,Student,None,NA
2,Merlin Locks,Victoria,Holmes,2,Daughter,NA,Female,Child,None,NA
2,Merlin Locks,Geraldine,Holmes,1,Daughter,NA,Female,Child,None,NA
3,Merlin Locks,Paul,Cooke,26,Head,Divorced,Male,"Doctor, general practice",None,None
3,Merlin Locks,Carole,Cooke,3,Step-Daughter,NA,Female,Child,None,NA
3,Merlin Locks,Alice,Cooke,0,Step-Daughter,NA,Female,Child,None,NA
3,Merlin Locks,Wayne,Freeman,44,Lodger,Single,Male,"Radiographer, therapeutic",None,Muslim
3,Merlin Locks,Brenda,Fletcher,43,Lodger,Divorced,Female,Sales executive,None,Methodist
4,Merlin Locks,Kayleigh,Price,38,Head,Married,Female,Unemployed,None,Methodist
4,Merlin Locks,Toby,Price,42,Husband,Married,Male,"Nurse, children's",None,Methodist
4,Merlin Locks,Joshua,Ahmed,33,Lodger,Single,Male,Chief Technology Officer,None,None
4,Merlin Locks,Lauren,Barker,54,Lodger,Single,Female,"Scientist, marine",None,Christian
4,Merlin Locks,Maria,Wood,32,Lodger,Single,Female,Electronics engineer,None,None
4,Merlin Locks,Andrew,Carey,57,Cousin,Single,Male,"Horticulturist, amenity",None,Christian
4,Merlin Locks,Dorothy,Matthews,58,Visitor,Single,Female,"Designer, multimedia",None,Muslim
4,Merlin Locks,Dominic,Lamb,30,Lodger,Single,Male,Personal assistant,None,Catholic
4,Merlin Locks,Wendy,Riley,64,Lodger,Single,Female,"Editor, magazine features",None,Christian
5,Merlin Locks,Kathleen,Brennan,56,Head,Married,Female,Investment analyst,None,Christian
5,Merlin Locks,Jamie,Brennan,57,Husband,Married,Male,Technical author,None,Christian
5,Merlin Locks,Gareth,Brennan,43,Son,Single,Male,Rural practice surveyor,None,None
5,Merlin Locks,Karl,Brennan,40,Son,Single,Male,Arts administrator,None,Christian
5,Merlin Locks,Claire,Brennan,37,Daughter,Single,Female,Professor Emeritus,None,Christian
6,Merlin Locks,Beverley,Clements,57,Head,Divorced,Female,Unemployed,None,None
6,Merlin Locks,Paula,Clements,33,Daughter,Single,Female,Product manager,None,None
6,Merlin Locks,David,Clements,30,Son,Single,Male,Public house manager,None,None
6,Merlin Locks,Amelia,Clements,30,Daughter,Widowed,Female,Camera operator,None,None
6,Merlin Locks,Lydia,Clements,29,Daughter,Single,Female,"Engineer, land",None,None
6,Merlin Locks,Abbie,Clements,25,Daughter,Divorced,Female,Advice worker,None,None
6,Merlin Locks,Joyce,Clements,23,Daughter,Divorced,Female,Office manager,None,None
6,Merlin Locks,Gemma,Clements,20,Daughter,Single,Female,University Student,None,None
6,Merlin Locks,James,Clements,18,Son,Single,Male,Student,None,None
7,Merlin Locks,Norman,Gregory,76,Head,Married,Male,Retired Food technologist,None,None
7,Merlin Locks,Lucy,Gregory,81,Wife,Married,Female,"Retired Education officer, community",None,None
7,Merlin Locks,Irene,Gregory,12,Granddaughter,NA,Female,Student,None,NA
7,Merlin Locks,Samantha,Gregory,9,Granddaughter,NA,Female,Student,None,NA
7,Merlin Locks,Glen,Fraser,6,Grandson,NA,Male,Student,None,NA
8,Merlin Locks,Gary,Adams,43,Head,Single,Male,Holiday representative,None,Christian
8,Merlin Locks,Dorothy,Chapman,61,None,Single,Female,Fashion designer,None,Jewish
8,Merlin Locks,Olivia,Barnes,28,None,Single,Female,"Editor, commissioning",None,None
8,Merlin Locks,Leah,Jenkins,40,None,Single,Female,Restaurant manager,None,Methodist
8,Merlin Locks,Thomas,Fletcher,58,None,Single,Male,Health and safety adviser,None,Christian
9,Merlin Locks,Christine,Mills,48,Head,Married,Female,"Designer, industrial/product",None,None
9,Merlin Locks,Jake,Mills,53,Husband,Married,Male,Sales promotion account executive,None,None
9,Merlin Locks,Eric,Mills,11,Son,NA,Male,Student,None,NA
9,Merlin Locks,Jill,Mills,9,Daughter,NA,Female,Student,None,NA
9,Merlin Locks,Pauline,Mills,5,Daughter,NA,Female,Student,None,NA
10,Merlin Locks,Bryan,Kelly,18,Head,Single,Male,Student,None,NA
11,Merlin Locks,Marilyn,Brown,59,Head,Married,Female,Manufacturing engineer,None,None
11,Merlin Locks,Harry,Brown,60,Husband,Married,Male,Science writer,None,None
11,Merlin Locks,Alex,Brown,29,Son,Single,Male,Diplomatic Services operational officer,None,None
11,Merlin Locks,Maurice,Smith,21,Adopted Son,Divorced,Male,University Student,None,None
11,Merlin Locks,Stephen,Smith,16,Son,NA,Male,Student,None,NA
11,Merlin Locks,Richard,Smith,15,Son,NA,Male,Student,None,NA
11,Merlin Locks,Rebecca,Smith,11,Daughter,NA,Female,Student,None,NA
11,Merlin Locks,Tina,Smith,7,Daughter,NA,Female,Student,None,NA
11,Merlin Locks,Frank,Smith,6,Son,NA,Male,Student,None,NA
11,Merlin Locks,Shane,Smith,3,Son,NA,Male,Child,None,NA
11,Merlin Locks,Charles,Smith,2,Son,NA,Male,Child,None,NA
11,Merlin Locks,Abdul,Smith,0,Son,NA,Male,Child,None,NA
11,Merlin Locks,Elaine,Flynn,35,Lodger,Single,Female,Banker,None,None
11,Merlin Locks,Gemma,Ward,18,Lodger,Divorced,Female,Student,None,NA
11,Merlin Locks,Emily,McCarthy,50,Sibling,Single,Female,Furniture conservator/restorer,None,Methodist
11,Merlin Locks,Robert,Campbell,55,Cousin,Divorced,Male,Architect,None,Christian
11,Merlin Locks,Patricia,Jones,34,Lodger,Divorced,Female,Structural engineer,None,Catholic
11,Merlin Locks,Graham,Summers,52,Visitor,Single,Male,"Scientist, research (physical sciences)",None,Christian
11,Merlin Locks,Russell,Scott,20,Lodger,Single,Male,"Accountant, chartered management",None,Methodist
11,Merlin Locks,Diana,Marsh,20,Lodger,Single,Female,University Student,None,None
11,Merlin Locks,Ryan,Bennett,33,Lodger,Single,Male,Diplomatic Services operational officer,None,Sikh
11,Merlin Locks,Leanne,Herbert,20,Lodger,Single,Female,University Student,None,Catholic
12,Merlin Locks,Claire,Berry,64,Head,Married,Female,Lawyer,None,Christian
12,Merlin Locks,Dennis,Berry-Taylor,64,Husband,Married,Male,Operational investment banker,None,None
12,Merlin Locks,Allan,Berry-Taylor,45,Son,Divorced,Male,"Runner, broadcasting/film/video",None,Christian
12,Merlin Locks,Kathleen,Berry-Taylor,45,Daughter,Single,Female,Dancer,None,Christian
12,Merlin Locks,Francesca,Berry-Taylor,45,Daughter,Single,Female,"Pilot, airline",None,None
12,Merlin Locks,Catherine,Berry-Taylor,38,Daughter,Single,Female,Chief of Staff,None,None
12,Merlin Locks,Gillian,Berry-Taylor,37,Daughter,Divorced,Female,Facilities manager,None,Christian
12,Merlin Locks,Jake,Berry-Taylor,34,Son,Divorced,Male,Farm manager,None,None
12,Merlin Locks,Jason,Berry-Taylor,34,Son,Single,Male,Counsellor,None,Christian
12,Merlin Locks,Damien,Berry-Taylor,31,Son,Single,Male,"Teacher, English as a foreign language",None,None
12,Merlin Locks,Barbara,Berry-Taylor,28,Daughter,Single,Female,Emergency planning/management officer,None,Christian
12,Merlin Locks,Declan,Bennett,1,Son,NA,Male,Child,None,NA
13,Merlin Locks,Diana,Day,34,Head,Married,Female,Software engineer,None,Muslim
13,Merlin Locks,Julian,Day,36,Husband,Married,Male,Public relations account executive,None,None
13,Merlin Locks,Angela,Page,42,Lodger,Single,Female,Unemployed,None,Christian
13,Merlin Locks,Linda,Walker,33,Sibling,Single,Female,Bookseller,None,Catholic
13,Merlin Locks,Nicholas,Robson,62,Lodger,Single,Male,Unemployed,None,Methodist
14,Merlin Locks,Janice,Khan,50,Head,Single,Female,Unemployed,None,Christian
14,Merlin Locks,Stewart,Khan,19,Son,Single,Male,University Student,None,None
14,Merlin Locks,Geraldine,Khan,19,Daughter,NA,Female,Student,None,NA
14,Merlin Locks,Jamie,Khan,13,Son,NA,Male,Student,None,NA
14,Merlin Locks,Henry,Jenkins-Khan,9,Son,NA,Male,Student,None,NA
15,Merlin Locks,Tracey,Austin,32,Head,Divorced,Female,Unemployed,None,Methodist
15,Merlin Locks,Kathryn,Austin,9,Daughter,NA,Female,Student,None,NA
15,Merlin Locks,Carolyn,Austin,6,Daughter,NA,Female,Student,None,NA
15,Merlin Locks,Carol,Austin,three,Daughter,NA,Female,Child,None,NA
15,Merlin Locks,Naomi,Austin,1,Daughter,NA,Female,Child,None,NA
16,,Lesley,Mills,56,Head,Single,Female,Curator,None,Methodist
16,Merlin Locks,Dale,O'Brien,58,Partner,Single,Male,Call centre manager,None,Methodist
16,Merlin Locks,Grace,Mills,20,Daughter,Single,Female,University Student,None,Methodist
16,Merlin Locks,Ronald,Mills,15,Son,NA,Male,Student,None,NA
16,Merlin Locks,Martyn,Mills,12,Son,NA,Male,Student,None,NA
17,Merlin Locks,Julie,Bolton,79,Head,Married,Female,Retired Press photographer,None,Christian
17,Merlin Locks,Ashley,Bolton,82,Husband,Married,Male,"Retired Nurse, adult",None,None
17,Merlin Locks,Kyle,Bolton,47,Son,Single,Male,"Chemist, analytical",None,None
17,Merlin Locks,Leah,Bolton,47,Daughter,Divorced,Female,Careers adviser,None,None
17,Merlin Locks,Ruth,Bolton,47,Daughter,Single,Female,Local government officer,None,Christian
17,Merlin Locks,Jill,Bolton,45,Daughter,Single,Female,Airline pilot,None,Christian
17,Merlin Locks,Francesca,Bolton,44,Daughter,Divorced,Female,Maintenance engineer,None,Christian
17,Merlin Locks,Fiona,Bolton,40,Daughter,Divorced,Female,Ergonomist,None,Christian
17,Merlin Locks,Amber,Bolton,37,Daughter,Single,Female,Arboriculturist,None,None
17,Merlin Locks,Katie,Bolton,30,Daughter,Single,Female,"Nurse, children's",None,Christian
17,Merlin Locks,Holly,Bolton,29,Daughter,Divorced,Female,"Engineer, petroleum",None,Christian
17,Merlin Locks,Fiona,Jones-Bolton,27,Daughter,Single,Female,"Chemist, analytical",None,Christian
17,Merlin Locks,Peter,Jones-Bolton,25,Son,Single,Male,"Radiographer, diagnostic",None,Christian
17,Merlin Locks,Connor,Jones-Bolton,23,Son,Single,Male,Conference centre manager,None,None
17,Merlin Locks,Cheryl,Jones-Bolton,19,Daughter,Single,Female,University Student,None,Christian
17,Merlin Locks,Janice,Bond,16,Daughter,NA,Female,Student,None,NA
18,Merlin Locks,Elizabeth,Morris,27,Head,Married,Female,"Therapist, art",None,Christian
18,Merlin Locks,Frank,Morris,31,Husband,Married,Male,Film/video editor,None,None
18,Merlin Locks,Jemma,Morris,5,Daughter,NA,Female,Student,None,NA
18,Merlin Locks,Kim,Morris,1,Daughter,NA,Female,Child,Deaf,NA
18,Merlin Locks,Damian,Morris,0,Son,NA,Male,Child,None,NA
18,Merlin Locks,Vanessa,Kirk,31,Lodger,Divorced,Female,Financial controller,None,Christian
19,Merlin Locks,Kate,Ward,69,Head,Widowed,Female,Retired Planning and development surveyor,None,Methodist
19,Merlin Locks,Callum,Lee-Ward,46,Son,Single,Male,Holiday representative,None,Methodist
19,Merlin Locks,Grace,Lee-Ward,39,Daughter,Single,Female,"Accountant, chartered management",None,None
19,Merlin Locks,Bruce,Lee-Ward,35,Son,Single,Male,Haematologist,None,Methodist
19,Merlin Locks,Kate,Lee-Ward,32,Daughter,Divorced,Female,Housing manager/officer,None,None
20,Merlin Locks,Clare,Gregory,65,Head,Married,Female,Early years teacher,None,None
